Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
StoreJanitorImpl.getJVM( );1;0;3
StoreJanitorImpl.longDiv( long top , long bottom );3;2;7
StoreJanitorImpl.start( );2;0;11
***not in a method***;0;5;0
StoreJanitorImpl.calcToFree( Store store );4;2;14
StoreJanitorImpl.minTimeToFill( long rate );1;0;3
StoreJanitorImpl.getMinFreeMemory( );1;0;3
StoreJanitorImpl.run( );5;0;17
StoreJanitorImpl.freePhysicalMemory( );3;0;14
StoreJanitorImpl.memoryInUse( );1;1;3
StoreJanitorImpl.getIndex( );1;0;3
StoreJanitorImpl.unregister( Store store );2;0;7
StoreJanitorImpl.getThreadInterval( );1;0;3
StoreJanitorImpl.iterator( );1;0;3
StoreJanitorImpl.register( Store store );2;0;7
StoreJanitorImpl.getMaxHeapSize( );1;0;3
StoreJanitorImpl.freeMemory( );8;3;25
StoreJanitorImpl.getPriority( );1;0;3
StoreJanitorImpl.memoryLow( );5;3;15
StoreJanitorImpl.parameterize( Parameters params );11;14;41
StoreJanitorImpl.setIndex( int _index );2;0;6
StoreJanitorImpl.getAdaptiveThreadInterval( );1;0;3
StoreJanitorImpl.stop( );1;0;3
StoreJanitorImpl.getStoreList( );1;0;3
StoreJanitorImpl.checkMemory( );12;14;37
StoreJanitorImpl.removeStoreObjects( Store store );4;2;14
