Method Name;Cyclomatic Complexity;Mutant Density;Source Lines of Code
MutableEnvironmentFacade.getOutputStream( int bufferSize );1;0;3
MutableEnvironmentFacade.startingProcessing( );1;0;3
MutableEnvironmentFacade.getContentType( );1;0;3
MutableEnvironmentFacade.getRedirectURL( );1;0;3
MutableEnvironmentFacade.tryResetResponse( );1;0;3
MutableEnvironmentFacade.setOutputStream( OutputStream os );1;0;3
MutableEnvironmentFacade.MutableEnvironmentFacade( EnvironmentWrapper env );1;0;4
MutableEnvironmentFacade.removeAttribute( String name );1;0;3
MutableEnvironmentFacade.setDelegate( EnvironmentWrapper env );1;0;3
MutableEnvironmentFacade.isResponseModified( long lastModified );1;0;3
MutableEnvironmentFacade.getURI( );1;0;3
MutableEnvironmentFacade.finishingProcessing( );1;0;3
MutableEnvironmentFacade.setURI( String prefix , String uri );1;0;3
MutableEnvironmentFacade.isExternal( );1;0;3
MutableEnvironmentFacade.reset( );1;0;3
MutableEnvironmentFacade.redirect( String url , boolean global , boolean permanent );1;0;3
MutableEnvironmentFacade.setAttribute( String name , Object value );1;0;3
MutableEnvironmentFacade.setContentLength( int length );1;0;3
MutableEnvironmentFacade.getAttribute( String name );1;0;3
MutableEnvironmentFacade.getAttributeNames( );1;0;3
MutableEnvironmentFacade.setStatus( int statusCode );1;0;3
MutableEnvironmentFacade.getAction( );1;0;3
MutableEnvironmentFacade.getView( );1;0;3
MutableEnvironmentFacade.getDelegate( );1;0;3
MutableEnvironmentFacade.isInternalRedirect( );1;0;3
MutableEnvironmentFacade.getObjectModel( );1;0;3
MutableEnvironmentFacade.commitResponse( );1;0;3
MutableEnvironmentFacade.setContentType( String mimeType );1;0;3
MutableEnvironmentFacade.setResponseIsNotModified( );1;0;3
MutableEnvironmentFacade.getURIPrefix( );1;0;3
